CustomerId,logistic_regression_churn_proba,logistic_regression_churn_risk_0_100,xgboost_churn_proba,xgboost_churn_risk_0_100,neural_net_mlp_churn_proba,neural_net_mlp_churn_risk_0_100,Exited_true
15634602,0.9952413536815548,100,0.994415062466155,99,0.9956987194901764,100,1
15647311,0.9945645870241847,99,0.3513798411371885,35,0.9958870706588364,100,0
15619304,0.9986368213843478,100,0.9941816282110594,99,0.9963558431030825,100,1
15701354,0.0012705545830127268,0,0.0009704969341074298,0,0.0010102730100841732,0,0
15737888,0.0008152168823779448,0,0.0009671991258550761,0,0.000956611325482395,0,0
15574012,0.9975086725332892,100,0.994432337180208,99,0.9926894699132652,99,1
15592531,0.0015680549817005812,0,0.0010475016842784158,0,0.0010206429131029158,0,0
15656148,0.9967558930025365,100,0.9943990785556637,99,0.9953462711738609,100,1
15792365,0.0006661791460762979,0,0.0009674274234266968,0,0.0008887666536378753,0,0
15592389,0.0004063111768036354,0,0.000967785628719172,0,0.0008404306380740663,0,0
15767821,0.0011009491755674533,0,0.0009672769745067639,0,0.0008774853069361514,0,0
15737173,0.0006808690177590131,0,0.0009676339875230684,0,0.000871890614900199,0,0
15632264,0.0022579532017743134,0,0.0009812138872559,0,0.000895056219719575,0,0
15691483,0.0005240096258154299,0,0.0009675404057789928,0,0.0008624095677872397,0,0
15600882,0.0004203240186917298,0,0.0009669467448899915,0,0.000878068867646778,0,0
15643966,0.00032365973592909095,0,0.0009673922740097065,0,0.0009744975503089777,0,0
15737452,0.036055557471466326,4,0.5952293589665025,60,0.0016923882959140695,0,1
15788218,0.00013043954049370114,0,0.0009667117139431322,0,0.0008804893855467814,0,0
15661507,0.0006725202010531749,0,0.0009678138466097945,0,0.001087697072624894,0,0
15568982,0.0001436970289633485,0,0.0009666323549345624,0,0.0008874584754745765,0,0
15577657,0.0002958725742017285,0,0.0009664709405447064,0,0.0008917848066121401,0,0
15597945,0.001541545705774177,0,0.0009745753001269406,0,0.0009079548013427508,0,0
15699309,0.9971339506574717,100,0.9944314995188724,99,0.9937650093408298,99,1
15725737,0.00039236044013242185,0,0.0009669175327557972,0,0.0009150289240172042,0,0
15625047,0.0012421990408370213,0,0.000973906378197159,0,0.0008392069500029589,0,0
15738191,5.702620280121054e-05,0,0.0009665058014320659,0,0.0008367265203397174,0,0
15736816,0.0005760797756384228,0,0.0009683831846944772,0,0.0008674712840684565,0,0
15700772,0.0005289054331246668,0,0.0009672232333399624,0,0.0010331013597916362,0,0
15728693,0.000978184113807777,0,0.000967444956530602,0,0.0011459088043904635,0,0
15656300,0.0003231652626518256,0,0.000969209165359974,0,0.0008280516412456962,0,0
15589475,0.998166626879386,100,0.9944448631649193,99,0.9947716484792132,99,1
15706552,0.00020166159311791598,0,0.0009671204245532261,0,0.000988637757991293,0,0
15750181,0.0006697152432375265,0,0.0009668524069246152,0,0.001066771475727199,0,0
15659428,0.00028229404491597913,0,0.0009669896533323416,0,0.0010083559017820386,0,0
15732963,0.00013179193549515698,0,0.0009684551845166398,0,0.0009442526679370056,0,0
15794171,0.9991093951926845,100,0.9944645806927702,99,0.9967628117925783,100,1
15788448,0.0005005619903821963,0,0.0009675782002624228,0,0.0009518964568993449,0,0
15729599,0.00013008667889219993,0,0.0009681944877160299,0,0.0009483501147419539,0,0
15717426,0.00014703172604877004,0,0.0009668740717143046,0,0.0008756722461531293,0,0
15585768,0.00016924856067734018,0,0.0009665906543441155,0,0.0009425640561579169,0,0
15619360,0.0018379173543630405,0,0.0009689358927002107,0,0.0011292474026412282,0,0
15738148,0.9982412120136811,100,0.9944697572099894,99,0.9966740701891935,100,1
15687946,0.0014390400939975599,0,0.000970693830125597,0,0.0011349113722780224,0,0
15755196,0.9989148606863383,100,0.994473225688377,99,0.9946157634562597,99,1
15684171,0.0016911532179294958,0,0.0009723103705041796,0,0.0012227089605716566,0,0
15754849,0.0010713547575011476,0,0.0009733372504647686,0,0.0008645095943837925,0,0
15602280,0.9653209083752822,97,0.9940320012573524,99,0.9911548926439968,99,1
15771573,0.9934443793474795,99,0.9942594661247913,99,0.996112217245508,100,1
15766205,0.00015988471606725543,0,0.0009670615943197592,0,0.0009397608619952043,0,0
15771873,0.007546730623926609,1,0.0010969986529592826,0,0.0009255608291364285,0,0
15616550,0.0010504323580325225,0,0.0009735121390500179,0,0.001394024994463501,0,0
15768193,0.000955667173169254,0,0.0009668687222786293,0,0.0009915732727235288,0,0
15683553,0.0005991648852313923,0,0.0009688641782297146,0,0.0010111641021994663,0,0
15702298,0.9983433589312294,100,0.9944423166127155,99,0.99657756095881,100,1
15569590,0.9992523576817426,100,0.9944068831716516,99,0.9968274983438418,100,1
15760861,0.0007421731354683384,0,0.0009673800530028651,0,0.0009453447269128822,0,0
